Date	Air temperature	Underground temperature	Fuel temperature (start of day)	Fuel volume (start of day)	Amount of sales	Supplier name	Driver name	Refill volume	Refill temperature	Fuel temperature (end of day)	Fuel volume (end of day)
2000-1-1	-4.013650562906587	9.350814859987402	9.350814859987402	15.079644737231007	0.8511359794122839	 	 	0.0	-4.013650562906587	9.3508148599874	14.228508757818723	
2000-1-2	-1.523247336619308	9.304731437861237	9.344006106160268	14.228508757818723	0.8261513906747204	 	 	0.0	-1.523247336619308	9.344006106160268	13.402357367144003	
2000-1-3	-7.286353107627711	9.257961470522037	9.330509592102228	13.402357367144003	0.7960046939409708	 	 	0.0	-7.286353107627711	9.330509592102228	12.606352673203032	
2000-1-4	-7.678708228935939	9.210518741293853	9.310500325839508	12.606352673203032	0.766247230629976	 	 	0.0	-7.678708228935939	9.310500325839508	11.840105442573057	
2000-1-5	-6.302377131796358	9.162417231766746	9.284208985680792	11.840105442573057	0.7439660208120279	 	 	0.0	-6.302377131796358	9.284208985680792	11.096139421761029	
2000-1-6	-3.981594535183636	9.113671117676358	9.251901806988853	11.096139421761029	0.6533101134806722	 	 	0.0	-3.981594535183636	9.251901806988853	10.442829308280356	
2000-1-7	-8.051098628337977	9.064294764726249	9.21413889681836	10.442829308280356	0.6392980869150015	 	 	0.0	-8.051098628337977	9.21413889681836	9.803531221365354	
2000-1-8	-6.152288553387904	9.014302724354273	9.171293140034036	9.803531221365354	0.8894531985169988	 	 	0.0	-6.152288553387904	9.171293140034036	8.914078022848356	
2000-1-9	-1.9241445550765395	8.963709729444188	9.122347753585172	8.914078022848356	0.5692321543383357	 	 	0.0	-1.9241445550765395	9.122347753585172	8.34484586851002	
2000-1-10	-4.300830378418205	8.912530689983813	9.06950391135934	8.34484586851002	0.5666705828641521	 	 	0.0	-4.300830378418205	9.06950391135934	7.778175285645868	
2000-1-11	-7.044966006446265	8.860780688670982	9.013109064992921	7.778175285645868	0.9009533276807808	 	 	0.0	-7.044966006446265	9.013109064992921	6.78607603704781	
2000-1-12	-3.226954720860963	8.808474976468617	8.949739841075084	6.78607603704781	0.7024845955476167	 	 	0.0	-3.226954720860963	8.949739841075084	5.9924455205829155	
2000-1-13	-1.2899288445856782	8.755628968110182	8.881673205302606	5.9924455205829155	0.5331803066205343	 	 	0.0	-1.2899288445856782	8.881673205302606	5.368119293045104	
2000-1-14	-4.279804681294557	8.702258237556899	8.81144813980291	5.368119293045104	0.8254094994801928	 	 	0.0	-4.279804681294557	8.81144813980291	4.451563872647633	
2000-1-15	-3.4710877803061617	8.648378513408035	8.734485104121559	4.451563872647633	0.6432042352799283	Dodgy Diesel	Trevor	11.309733552923255	-3.4710877803061617	-0.38190321975976577	14.68695769187233	
2000-1-16	-1.9952793848369448	8.594005674265599	0.8891121117673235	14.686957691872328	0.5032797653641741	 	 	0.0	-1.9952793848369448	0.8891121117673235	14.092532005590876	
2000-1-17	-5.061655426166455	8.539155744054854	2.0196552772303256	14.092532005590876	0.7112567272888669	 	 	0.0	-5.061655426166455	2.0196552772303256	13.29012935738473	
