Date	Air temperature	Underground temperature	Fuel temperature (start of day)	Fuel volume (start of day)	Amount of sales	Supplier name	Driver name	Refill volume	Refill temperature	Fuel temperature (end of day)	Fuel volume (end of day)
2000-1-1	-4.013650562906587	9.350814859987402	9.350814859987402	14.69296224946469	0.8308875220202596	 	 	0.0	-4.013650562906587	9.350814859987402	13.862074727444433	
2000-1-2	-1.523247336619308	9.304731437861237	9.344015781864591	13.862074727444433	0.5271279867086925	 	 	0.0	-1.523247336619308	9.344015781864591	13.33494674073574	
2000-1-3	-7.286353107627711	9.257961470522037	9.330831819227921	13.33494674073574	0.9396351156187704	 	 	0.0	-7.286353107627711	9.330831819227921	12.39531162511697	
2000-1-4	-7.678708228935939	9.210518741293853	9.311044504420968	12.39531162511697	0.8695040097964402	 	 	0.0	-7.678708228935939	9.311044504420968	11.525807615320529	
2000-1-5	-6.302377131796358	9.162417231766746	9.284816875365397	11.525807615320529	0.6270861242830192	 	 	0.0	-6.302377131796358	9.284816875365397	10.898721491037508	
2000-1-6	-3.981594535183636	9.113671117676358	9.252938261325161	10.898721491037506	0.5876962004471427	 	 	0.0	-3.981594535183636	9.252938261325161	10.311025290590363	
2000-1-7	-8.051098628337977	9.064294764726249	9.215871374983175	10.311025290590363	0.939237992938741	 	 	0.0	-8.051098628337977	9.215871374983175	9.371787297651622	
2000-1-8	-6.152288553387904	9.014302724354273	9.172454520559969	9.371787297651622	0.8463383172625681	 	 	0.0	-6.152288553387904	9.172454520559969	8.525448980389054	
2000-1-9	-1.9241445550765395	8.963709729444188	9.123224482258278	8.525448980389054	0.8700689397096337	 	 	0.0	-1.9241445550765395	9.123224482258278	7.655380040679421	
2000-1-10	-4.300830378418205	8.912530689983813	9.0681618942163	7.655380040679421	0.965468850942139	 	 	0.0	-4.300830378418205	9.068161894216301	6.689911189737281	
2000-1-11	-7.044966006446265	8.860780688670982	9.006574637662704	6.689911189737281	0.911469123379297	 	 	0.0	-7.044966006446265	9.006574637662704	5.778442066357985	
2000-1-12	-3.226954720860963	8.808474976468617	8.93905068611078	5.778442066357985	0.5570916445151781	 	 	0.0	-3.226954720860963	8.93905068611078	5.221350421842808	
2000-1-13	-1.2899288445856782	8.755628968110182	8.870324292085566	5.221350421842808	0.6771832630938196	 	 	0.0	-1.2899288445856782	8.870324292085566	4.544167158748988	
2000-1-14	-4.279804681294557	8.702258237556899	8.798708565378076	4.544167158748988	0.7921847523854381	 	 	0.0	-4.279804681294557	8.798708565378076	3.7519824063635494	
2000-1-15	-3.4710877803061617	8.648378513408035	8.722395110747538	3.7519824063635494	0.8079007705745314	Dodgy Diesel	Francis	11.309733552923255	-3.4710877803061617	-0.6310757280342493	13.91382561121092	
2000-1-16	-1.9952793848369448	8.594005674265599	0.7101560311502685	13.913825611210921	0.6084974137094431	 	 	0.0	-1.9952793848369448	0.7101560311502685	13.30532819750148	
2000-1-17	-5.061655426166455	8.539155744054854	1.9007553999471356	13.30532819750148	0.7871321426398878	 	 	0.0	-5.061655426166455	1.9007553999471356	12.518196054861589	
2000-1-18	-4.736928343412013	8.483844887301991	2.9643416044379842	12.518196054861589	0.5317978655030852	 	 	0.0	-4.736928343412013	2.964341604437984	11.986398189358503	
2000-1-19	-2.076383553111014	8.428089404370374	3.8861055463090617	11.986398189358503	0.5767786793385673	 	 	0.0	-2.076383553111014	3.8861055463090617	11.409619510019937	
2000-1-20	-4.475909795589263	8.371905726656731	4.68069626160815	11.409619510019937	0.9604980303693772	 	 	0.0	-4.475909795589263	4.68069626160815	10.357254125421251	
2000-1-21	-2.3036185398405475	8.315310411748769	5.388195793665021	10.357254125421251	0.5961559038002979	 	 	0.0	-2.3036185398405475	5.388195793665021	9.669230867391644	
2000-1-22	-5.126924949594261	8.258320138545558	5.985575877584155	9.669230867391644	0.5156616759509147	 	 	0.0	-5.126924949594261	5.985575877584155	9.061701837211423	
2000-1-23	-2.7406703838648547	8.200951702342193	6.476652122449955	9.061701837211423	0.6116999192140251	 	 	0.0	-2.7406703838648547	6.476652122449955	8.358134563768088	
2000-1-24	-5.23238239342539	8.143222009880144	6.876015614307928	8.358134563768088	0.8426685110324386	 	 	0.0	-5.23238239342539	6.876015614307928	7.394098050902411	
2000-1-25	-3.10352649930426	8.085148074364755	7.201806323234451	7.394098050902409	0.551333208872528	 	 	0.0	-3.10352649930426	7.201806323234451	6.648275923352409	
2000-1-26	-4.768620232353713	8.026747010451375	7.447733319968832	6.648275923352409	0.9936166045279535	 	 	0.0	-4.768620232353713	7.447733319968832	5.361425664243642	
2000-1-27	-0.8722249811343925	7.968036029201603	7.637620109113016	5.361425664243642	0.5918202891683423	 	 	0.0	-0.8722249811343925	7.637620109113016	4.398105846453749	
2000-1-28	-0.4771939628472493	7.909032433011087	7.756640673975356	4.398105846453749	0.9430228153483576	Dodgy Diesel	Trevor	11.309733552923255	-0.4771939628472493	1.4816015304905217	14.200647535553303	
2000-1-29	-6.461658465583221	7.8497536105104535	2.3913757579665136	14.200647535553303	0.7008795665317327	 	 	0.0	-6.461658465583221	2.3913757579665136	13.128268440400022	
2000-1-30	-2.2892285765629254	7.790217031440776	3.2247079392980247	13.128268440400022	0.8295506304252287	 	 	0.0	-2.2892285765629254	3.2247079392980242	11.927218281353243	
2000-1-31	-3.8190978499502326	7.73044024150518	3.988722445760989	11.927218281353243	0.5486456383308854	 	 	0.0	-3.8190978499502326	3.9887224457609887	11.007073114400804	
2000-2-1	-4.9372979372676475	7.670440857198027	4.66400014478317	11.007073114400804	0.8739263329003291	 	 	0.0	-4.9372979372676475	4.66400014478317	9.761647252878921	
2000-2-2	0.48482135185196534	7.61023656061327	5.2711505341544305	9.761647252878921	0.8044008366503088	 	 	0.0	0.48482135185196534	5.2711505341544305	8.489023469091943	
