Date	Air temperature	Underground temperature	Fuel temperature (start of day)	Fuel volume (start of day)	Amount of sales	Supplier name	Driver name	Refill volume	Refill temperature	Fuel temperature (end of day)	Fuel volume (end of day)
2000-1-1	-4.013650562906587	9.350814859987402	9.350814859987402	15.393804002589984	0.7526890798521388	 	 	0.0	-4.013650562906587	9.350814859987402	14.641114922737843	
2000-1-2	-1.523247336619308	9.304731437861237	9.344052892143292	14.641114922737843	0.9051620899165178	 	 	0.0	-1.523247336619308	9.344052892143292	13.735952832821326	
2000-1-3	-7.286353107627711	9.257961470522037	9.330568593807993	13.735952832821322	0.8331909108689998	 	 	0.0	-7.286353107627711	9.330568593807993	12.902761921952324	
2000-1-4	-7.678708228935939	9.210518741293853	9.310521260228855	12.902761921952324	0.9607126630233668	 	 	0.0	-7.678708228935939	9.310521260228855	11.942049258928959	
2000-1-5	-6.302377131796358	9.162417231766746	9.283746303270492	11.942049258928959	0.8970081256251924	 	 	0.0	-6.302377131796358	9.283746303270492	11.045041133303766	
2000-1-6	-3.981594535183636	9.113671117676358	9.250430105957703	11.045041133303766	0.5335889488775071	 	 	0.0	-3.981594535183636	9.250430105957703	10.51145218442626	
2000-1-7	-8.051098628337977	9.064294764726249	9.212061348754405	10.51145218442626	0.9689235496678079	 	 	0.0	-8.051098628337977	9.212061348754405	9.228369369399472	
2000-1-8	-6.152288553387904	9.014302724354273	9.167018514382402	9.228369369399472	0.5351999740806734	 	 	0.0	-6.152288553387904	9.167018514382402	8.627345571258417	
2000-1-9	-1.9241445550765395	8.963709729444188	9.117488045978199	8.627345571258417	0.944290228973917	 	 	0.0	-1.9241445550765395	9.117488045978199	7.617231518224116	
2000-1-10	-4.300830378418205	8.912530689983813	9.060937616401993	7.617231518224116	0.9823689693771339	 	 	0.0	-4.300830378418205	9.060937616401993	6.5690387247866004	
2000-1-11	-7.044966006446265	8.860780688670982	8.996903556483932	6.5690387247866004	0.6615037815897086	 	 	0.0	-7.044966006446265	8.996903556483932	5.841711119136509	
2000-1-12	-3.226954720860963	8.808474976468617	8.929120991555159	5.841711119136509	0.7365508538958582	 	 	0.0	-3.226954720860963	8.929120991555159	5.039336441180267	
2000-1-13	-1.2899288445856782	8.755628968110182	8.856779956873908	5.039336441180267	0.6873601230860874	 	 	0.0	-1.2899288445856782	8.856779956873908	4.286152494033797	
2000-1-14	-4.279804681294557	8.702258237556899	8.781032940673043	4.286152494033797	0.9883406180876979	Pristine Petroleum	Josh	11.309733552923255	-4.279804681294557	-1.3284440182896484	14.616874508178674	
