Date	Air temperature	Underground temperature	Fuel temperature (start of day)	Fuel volume (start of day)	Amount of sales	Supplier name	Driver name	Refill volume	Refill temperature	Fuel temperature (end of day)	Fuel volume (end of day)
2000-1-1	3.047196305469464	13.42676801834201	13.42676801834201	15.079644737231007	0.847921163458286	 	 	0.0	3.047196305469464	13.42676801834201	14.231723573772722	
2000-1-2	2.385110719176738	13.385054831638886	13.420578278858617	14.231723573772722	0.5577304223090732	 	 	0.0	2.385110719176738	13.420578278858617	13.673993151463648	
2000-1-3	4.231043392407959	13.342720206958067	13.408553924050068	13.673993151463648	0.7781226777494659	 	 	0.0	4.231043392407959	13.408553924050068	12.895870473714183	
2000-1-4	4.30344041795883	13.299776620507759	13.390740997154229	12.895870473714183	0.5153980976040298	 	 	0.0	4.30344041795883	13.390740997154229	12.380472376110152	
2000-1-5	1.6757519485667467	13.256236727959998	13.367798649022578	12.380472376110152	0.7986422774796943	 	 	0.0	1.6757519485667467	13.367798649022578	11.581830098630459	
2000-1-6	1.806583594741526	13.212113360720965	13.339413037131072	11.581830098630459	0.9161282646155455	 	 	0.0	1.806583594741526	13.339413037131072	10.665701834014913	
2000-1-7	2.591461194926289	13.167419522149507	13.305361499346041	10.665701834014913	0.5865637204047071	 	 	0.0	2.591461194926289	13.305361499346041	10.079138113610206	
2000-1-8	2.8477545701436675	13.122168383724995	13.266983412613243	10.079138113610206	0.9016986645927839	 	 	0.0	2.8477545701436675	13.266983412613243	9.177439449017422	
2000-1-9	2.5169027762106086	13.076373281165623	13.223130000271583	9.177439449017422	0.6473370033980123	 	 	0.0	2.5169027762106086	13.223130000271583	8.53010244561941	
2000-1-10	4.543461706276303	13.030047710498312	13.175339029944569	8.53010244561941	0.6359799058969102	 	 	0.0	4.543461706276303	13.175339029944569	7.894122539722499	
2000-1-11	4.175111407648279	12.983205324081368	13.123954290799501	7.8941225397225	0.593147091516606	 	 	0.0	4.175111407648279	13.123954290799501	7.300975448205893	
2000-1-12	2.1364204084769614	12.935859926581074	13.069566124328894	7.300975448205893	0.9141310564045981	 	 	0.0	2.1364204084769614	13.069566124328896	6.386844391801295	
2000-1-13	4.385801545602096	12.888025470903386	13.009563438767985	6.386844391801295	0.7612193060843626	 	 	0.0	4.385801545602096	13.009563438767987	5.6256250857169325	
2000-1-14	3.6206462341908394	12.839716054081949	12.945833706820055	5.6256250857169325	0.6459763596488446	 	 	0.0	3.6206462341908394	12.945833706820055	4.903905696952146	
2000-1-15	4.291930790187273	12.79094591312364	12.879168662150951	4.903905696952146	0.7179374531573188	 	 	0.0	4.291930790187273	12.879168662150951	4.110225214678886	
2000-1-16	2.770501056791629	12.741729420812847	12.808596101340745	4.110225214678886	0.5101055413063617	Pristine Petroleum	Josh	11.309733552923255	2.770501056791629	5.180231149050937	14.681323788701587	
2000-1-17	0.6911051560985761	12.692081081475761	6.250895121118462	14.681323788701587	0.9788233953740658	 	 	0.0	0.6911051560985761	6.250895121118462	13.62675736421158	
2000-1-18	0.9017444827548139	12.642015526705862	7.233482764533407	13.62675736421158	0.8607866338043215	 	 	0.0	0.9017444827548139	7.233482764533407	12.690227701291318	
2000-1-19	5.441912975834416	12.591547511051944	8.119003694480737	12.690227701291315	0.5979456863541246	 	 	0.0	5.441912975834416	8.119003694480737	12.016538985821251	
2000-1-20	3.5067490252829763	12.540691907669864	8.891499518916378	12.01653898582125	0.5250388199712769	 	 	0.0	3.5067490252829763	8.891499518916378	11.415757136734031	
2000-1-21	3.235194272260525	12.48946370393936	9.55373508489436	11.415757136734033	0.8488591232062884	 	 	0.0	3.235194272260525	9.55373508489436	10.491154984411803	
2000-1-22	5.122537905390563	12.437877997047211	10.131796314851506	10.491154984411803	0.6780484926910566	 	 	0.0	5.122537905390563	10.131796314851506	9.737363462604806	
2000-1-23	1.770909979585279	12.38594998953801	10.618878238386085	9.737363462604806	0.8044221450590179	 	 	0.0	1.770909979585279	10.618878238386085	8.857198288429847	
2000-1-24	5.962689448476708	12.333694984833919	11.026462001974542	8.857198288429847	0.6897106016356992	 	 	0.0	5.962689448476708	11.026462001974542	8.091744657678207	
2000-1-25	1.872298598390639	12.281128382724672	11.3530339733852	8.091744657678207	0.5449224328591912	 	 	0.0	1.872298598390639	11.353033973385202	7.4710791957030755	
